,W eco,W soc,K,Recovery rate,Delay for societal,Divorce
0,0.0,0.0,-4.0,0.0,0.5,0.0628550219341548
1,0.0,0.0,-4.0,0.0,1.5,0.07104716394482462
2,0.0,0.0,-4.0,0.0,2.5,0.08015969904751961
3,0.0,0.0,-4.0,0.0,3.5,0.0903569307452372
4,0.0,0.0,-4.0,0.0,4.5,0.10178200539372678
5,0.0,0.0,-4.0,0.0,5.5,0.11457187750508152
6,0.0,0.0,-4.0,0.0,6.5,0.12883346283950228
7,0.0,0.0,-4.0,0.0,7.5,0.14460637200067306
8,0.0,0.0,-4.0,0.0,8.5,0.16183627767005998
9,0.0,0.0,-4.0,0.0,9.5,0.1803730274786034
10,0.0,0.0,-4.0,0.0,10.5,0.19998894056551647
11,0.0,0.0,-4.0,0.2,0.5,101.09221759827189
12,0.0,0.0,-4.0,0.2,1.5,101.11870096529623
13,0.0,0.0,-4.0,0.2,2.5,101.14183356747913
14,0.0,0.0,-4.0,0.2,3.5,101.15663004330733
15,0.0,0.0,-4.0,0.2,4.5,101.16321781264578
16,0.0,0.0,-4.0,0.2,5.5,101.15804200858302
17,0.0,0.0,-4.0,0.2,6.5,101.12853165440687
18,0.0,0.0,-4.0,0.2,7.5,101.06194947866467
19,0.0,0.0,-4.0,0.2,8.5,100.95310118029923
20,0.0,0.0,-4.0,0.2,9.5,100.8030786571347
21,0.0,0.0,-4.0,0.2,10.5,100.61549052151452
22,0.0,0.0,-4.0,0.4,0.5,126.959415856082
23,0.0,0.0,-4.0,0.4,1.5,126.924915430885
24,0.0,0.0,-4.0,0.4,2.5,126.89875868464503
25,0.0,0.0,-4.0,0.4,3.5,126.87880344530336
26,0.0,0.0,-4.0,0.4,4.5,126.86622832824732
27,0.0,0.0,-4.0,0.4,5.5,126.85709481295973
28,0.0,0.0,-4.0,0.4,6.5,126.84598460412494
29,0.0,0.0,-4.0,0.4,7.5,126.80998532586077
30,0.0,0.0,-4.0,0.4,8.5,126.72327415661478
31,0.0,0.0,-4.0,0.4,9.5,126.57255548179432
32,0.0,0.0,-4.0,0.4,10.5,126.35750841467689
33,0.0,0.0,-4.0,0.6000000000000001,0.5,133.7380566953165
34,0.0,0.0,-4.0,0.6000000000000001,1.5,133.74320782125463
35,0.0,0.0,-4.0,0.6000000000000001,2.5,133.7588748627807
36,0.0,0.0,-4.0,0.6000000000000001,3.5,133.7363477605972
37,0.0,0.0,-4.0,0.6000000000000001,4.5,133.7016723209471
38,0.0,0.0,-4.0,0.6000000000000001,5.5,133.6322014803834
39,0.0,0.0,-4.0,0.6000000000000001,6.5,133.53720900658337
40,0.0,0.0,-4.0,0.6000000000000001,7.5,133.43779509791483
41,0.0,0.0,-4.0,0.6000000000000001,8.5,133.33250536399402
42,0.0,0.0,-4.0,0.6000000000000001,9.5,133.20875744923373
43,0.0,0.0,-4.0,0.6000000000000001,10.5,133.05678098034602
44,0.0,0.0,-4.0,0.8,0.5,135.22664293926422
45,0.0,0.0,-4.0,0.8,1.5,135.1756231762303
46,0.0,0.0,-4.0,0.8,2.5,135.28353069665422
47,0.0,0.0,-4.0,0.8,3.5,135.37174952840132
48,0.0,0.0,-4.0,0.8,4.5,135.4656774745589
49,0.0,0.0,-4.0,0.8,5.5,135.53364809940433
50,0.0,0.0,-4.0,0.8,6.5,135.53093671892887
51,0.0,0.0,-4.0,0.8,7.5,135.4789087789454
52,0.0,0.0,-4.0,0.8,8.5,135.40671407976623
53,0.0,0.0,-4.0,0.8,9.5,135.32578495579003
54,0.0,0.0,-4.0,0.8,10.5,135.23656285952865
55,0.0,0.0,-4.0,1.0,0.5,135.67610861078467
56,0.0,0.0,-4.0,1.0,1.5,135.51891146495535
57,0.0,0.0,-4.0,1.0,2.5,135.45228857467094
58,0.0,0.0,-4.0,1.0,3.5,135.44371816719013
59,0.0,0.0,-4.0,1.0,4.5,135.48451768175318
60,0.0,0.0,-4.0,1.0,5.5,135.60788025883062
61,0.0,0.0,-4.0,1.0,6.5,135.72538569840984
62,0.0,0.0,-4.0,1.0,7.5,135.7960376005969
63,0.0,0.0,-4.0,1.0,8.5,135.83014422140374
64,0.0,0.0,-4.0,1.0,9.5,135.84449430636306
65,0.0,0.0,-4.0,1.0,10.5,135.84855631935343
66,0.0,0.0,-3.2,0.0,0.5,0.07659034130906564
67,0.0,0.0,-3.2,0.0,1.5,0.08674919067604885
68,0.0,0.0,-3.2,0.0,2.5,0.09803897339598049
69,0.0,0.0,-3.2,0.0,3.5,0.11065357870817974
70,0.0,0.0,-3.2,0.0,4.5,0.12476312333351838
71,0.0,0.0,-3.2,0.0,5.5,0.1405208511056477
72,0.0,0.0,-3.2,0.0,6.5,0.15803271432636537
73,0.0,0.0,-3.2,0.0,7.5,0.17731588534318823
74,0.0,0.0,-3.2,0.0,8.5,0.19827257622512545
75,0.0,0.0,-3.2,0.0,9.5,0.22069298153685943
76,0.0,0.0,-3.2,0.0,10.5,0.24428070289044657
77,0.0,0.0,-3.2,0.2,0.5,98.632210503134
78,0.0,0.0,-3.2,0.2,1.5,98.66227229979948
79,0.0,0.0,-3.2,0.2,2.5,98.684879764108
80,0.0,0.0,-3.2,0.2,3.5,98.69834706379378
81,0.0,0.0,-3.2,0.2,4.5,98.70481487344345
82,0.0,0.0,-3.2,0.2,5.5,98.70044010931905
83,0.0,0.0,-3.2,0.2,6.5,98.67109556558668
84,0.0,0.0,-3.2,0.2,7.5,98.60303706458465
85,0.0,0.0,-3.2,0.2,8.5,98.49163168833856
86,0.0,0.0,-3.2,0.2,9.5,98.33950476127414
87,0.0,0.0,-3.2,0.2,10.5,98.1517994638081
88,0.0,0.0,-3.2,0.4,0.5,122.01679179081421
89,0.0,0.0,-3.2,0.4,1.5,121.98806699078698
90,0.0,0.0,-3.2,0.4,2.5,121.9626332336992
91,0.0,0.0,-3.2,0.4,3.5,121.93984150082008
